accession, tissue
SRR2056331, dt40-cre1 pre-b-cell line
SRR2056335, dt40-cre1 pre-b-cell line
SRR2056332, dt40-cre1 pre-b-cell line
SRR2056334, dt40-cre1 pre-b-cell line
SRR2056333, dt40-cre1 pre-b-cell line
SRR2072650, df-1 cell line
SRR2072647, df-1 cell line
SRR2072646, df-1 cell line
SRR2072645, df-1 cell line
SRR2072648, df-1 cell line
SRR2072652, df-1 cell line
SRR2072649, df-1 cell line
SRR2072651, df-1 cell line
SRR2185614, breast muscle
SRR2185593, breast muscle
SRR2185589, breast muscle
SRR2185597, breast muscle
SRR2185591, breast muscle
SRR2185609, breast muscle
SRR2185590, breast muscle
SRR2185599, breast muscle
SRR2185595, breast muscle
SRR2185607, breast muscle
SRR2185610, breast muscle
SRR2185594, breast muscle
SRR2185608, breast muscle
SRR2185601, breast muscle
SRR2185613, breast muscle
SRR2185592, breast muscle
SRR2185617, breast muscle
SRR2185620, breast muscle
SRR2185598, breast muscle
SRR2185615, breast muscle
SRR2185603, breast muscle
SRR2185616, breast muscle
SRR2185611, breast muscle
SRR2185602, breast muscle
SRR2185600, breast muscle
SRR2185604, breast muscle
SRR2185619, breast muscle
SRR2185596, breast muscle
SRR2185621, breast muscle
SRR2185618, breast muscle
SRR2185605, breast muscle
SRR2185612, breast muscle
SRR2185606, breast muscle
